image_path,class
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f4443d44-95d1-4a98-8373-ee9f3cd3396b___UF.GRC_YLCV_Lab 01784.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\262d9b58-6733-4da4-aa2e-4fa0ca34b3e1___Matt.S_CG 7523.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_mosaic_virus\2d981dde-7e7f-4486-ae83-cdb9b28c7904___PSU_CG 2258.JPG,Tomato___Tomato_mosaic_virus
Apple___Black_rot\1ce9343f-125e-4abb-9cd4-fddf761504da___JR_FrgE.S 3096.JPG,Apple___Black_rot
Tomato___Spider_mites Two-spotted_spider_mite\85d02dcc-7d8f-4ba1-a55e-14d5e75444c5___Com.G_SpM_FL 9479.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Common_rust_\RS_Rust 2769.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Common_rust_\RS_Rust 2721.JPG,Corn_(maize)___Common_rust_
Tomato___Septoria_leaf_spot\286a4fc5-4657-472f-bcbe-dbf38e94bb8e___JR_Sept.L.S 8417.JPG,Tomato___Septoria_leaf_spot
Apple___healthy\fd7d6a50-e28f-4014-8e15-6028b5f349d0___RS_HL 5953.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\02cb40d6-550a-42fb-99ce-247e4406a322___UF.GRC_YLCV_Lab 02991.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Apple_scab\11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,Apple___Apple_scab
Tomato___Septoria_leaf_spot\66b8d334-827c-429e-aac3-f4c80fc07000___Matt.S_CG 6831.JPG,Tomato___Septoria_leaf_spot
Tomato___healthy\ceb2bf82-b22d-43bb-9a32-cac11e19febd___RS_HL 0406.JPG,Tomato___healthy
Tomato___Septoria_leaf_spot\8c73d17b-4821-4e52-9627-3914f7c89bce___JR_Sept.L.S 8481.JPG,Tomato___Septoria_leaf_spot
Apple___Cedar_apple_rust\ee625c73-927a-4959-ac97-d98a753ae99c___FREC_C.Rust 9904.JPG,Apple___Cedar_apple_rust
Tomato___Leaf_Mold\53583056-c427-4687-b89f-e0507471c8b2___Crnl_L.Mold 9077.JPG,Tomato___Leaf_Mold
Corn_(maize)___Common_rust_\RS_Rust 2016.JPG,Corn_(maize)___Common_rust_
Tomato___Early_blight\5b71fe03-84fc-4866-9bf8-e557ce918c6e___RS_Erly.B 9580.JPG,Tomato___Early_blight
Tomato___Septoria_leaf_spot\939b8ab2-3d4d-4ee3-8677-18e29f2f8bc3___Matt.S_CG 1651.JPG,Tomato___Septoria_leaf_spot
Tomato___Septoria_leaf_spot\efbf830b-2408-403e-8fa0-86e22942b437___Matt.S_CG 6549.JPG,Tomato___Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\6dff3d85-99fb-4c45-b046-ed003a68b35a___Com.G_SpM_FL 8689.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Leaf_Mold\4172a7c2-35dc-426f-9b59-c7b1908edc5a___Crnl_L.Mold 6710.JPG,Tomato___Leaf_Mold
Corn_(maize)___healthy\a9b8dca9-da3d-4206-94b9-38fd2781bfc7___R.S_HL 0619 copy 2.jpg,Corn_(maize)___healthy
Tomato___Target_Spot\8c034f61-0b93-4b14-b5d6-5ed385cb93b1___Com.G_TgS_FL 7892.JPG,Tomato___Target_Spot
Tomato___Target_Spot\1d4b2b39-04ca-4921-b824-52c7062f4efb___Com.G_TgS_FL 9810.JPG,Tomato___Target_Spot
Tomato___Spider_mites Two-spotted_spider_mite\443ec2ab-57b1-4853-a779-2f020ac7d1cf___Com.G_SpM_FL 8983.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Early_blight\801a593c-82f7-4433-8c30-9defa319bdb7___RS_Erly.B 9609.JPG,Tomato___Early_blight
Tomato___Bacterial_spot\f6084490-18e3-489a-9144-4584db9c1d38___GCREC_Bact.Sp 3049.JPG,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\43f3a314-03d4-407a-8443-18065bb4ac85___UF.GRC_YLCV_Lab 02207.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ef849f6e-252e-4982-85a8-27b02c837737___YLCV_NREC 2851.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\352ced01-4645-44e5-bc3e-1b7172deb883___RS_Erly.B 7758.JPG,Tomato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\cb295178-78f5-4313-890e-2a049d864bd5___YLCV_GCREC 2767.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___healthy\7c28a1e2-08fb-406d-9fad-769be3096e85___R.S_HL 0603 copy 2.jpg,Corn_(maize)___healthy
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\b131eadc-23e6-4784-92b4-4aaee4293bb7___RS_GLSp 4431.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\b65bb385-3d4a-411a-9358-766e03683e07___YLCV_GCREC 2119.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Late_blight\e01f9ba8-74b9-48d8-b96c-ac48463a4d29___RS_LB 2857.JPG,Potato___Late_blight
Potato___Late_blight\a6b27bfe-0e60-4984-98ca-af4b2316dfff___RS_LB 3881.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\754260bb-6fa5-40af-802b-e706b606900c___UF.GRC_YLCV_Lab 01733.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 1889.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Common_rust_\RS_Rust 1569.JPG,Corn_(maize)___Common_rust_
Tomato___Septoria_leaf_spot\388bbf02-8689-4a87-8fac-ec29b6e9268e___Matt.S_CG 6504.JPG,Tomato___Septoria_leaf_spot
Tomato___Septoria_leaf_spot\54cf4681-e4b4-4a9d-9c7b-0745c8dae7a1___Matt.S_CG 1100.JPG,Tomato___Septoria_leaf_spot
Tomato___Bacterial_spot\ad7c1b29-cdb8-413e-a726-fe3111ba2ca8___GCREC_Bact.Sp 3675.JPG,Tomato___Bacterial_spot
Potato___Early_blight\f15637d3-829d-46f9-b45e-1e1768d6b8c9___RS_Early.B 7635.JPG,Potato___Early_blight
Corn_(maize)___Common_rust_\RS_Rust 2757.JPG,Corn_(maize)___Common_rust_
Tomato___Tomato_Yellow_Leaf_Curl_Virus\16d92fe9-f49b-42f0-b27b-93c9b33c955a___YLCV_GCREC 2645.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Northern_Leaf_Blight\82627249-dfdd-4afc-aa5a-6653a6d68824___RS_NLB 3954 copy 2.jpg,Corn_(maize)___Northern_Leaf_Blight
Tomato___Late_blight\4eecda06-df95-4222-b91f-b92111dd0b38___RS_Late.B 6070.JPG,Tomato___Late_blight
Tomato___Target_Spot\4f72eec5-805e-462f-b32a-06c70bac3351___Com.G_TgS_FL 9711.JPG,Tomato___Target_Spot
Tomato___healthy\c7f91fa4-3769-45ef-a494-1669ee62ee7a___RS_HL 9812.JPG,Tomato___healthy
Tomato___Leaf_Mold\2a27ed39-5f6c-490e-8dae-8b1df4683dbc___Crnl_L.Mold 9099.JPG,Tomato___Leaf_Mold
Tomato___Tomato_mosaic_virus\bf950cb4-985f-4174-b32b-9ae2d6e99a84___PSU_CG 2320.JPG,Tomato___Tomato_mosaic_virus
Apple___Apple_scab\0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab
Potato___Early_blight\acb84d77-5b1c-4beb-be27-99fee467bf1f___RS_Early.B 7577.JPG,Potato___Early_blight
Corn_(maize)___healthy\81ddfdc4-79fe-462c-b438-d176abad814b___R.S_HL 8041 copy.jpg,Corn_(maize)___healthy
Corn_(maize)___Northern_Leaf_Blight\3146c9fd-b7eb-4e06-b063-6d9de01a645f___RS_NLB 4222.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\a4744d9f-8ba8-4bd4-aa0f-1bdf38d8b5bd___UF.GRC_YLCV_Lab 01881.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\246cb5c4-d52f-4ba4-a77c-915f5a5c7d2b___GHLB2 Leaf 85.2.JPG,Tomato___Late_blight
Apple___healthy\872f54d3-61de-4b41-aaa4-57caad5ad9d3___RS_HL 7865.JPG,Apple___healthy
Tomato___Tomato_mosaic_virus\69d3740b-5aba-47e2-ae2f-46541333c3a5___PSU_CG 2420.JPG,Tomato___Tomato_mosaic_virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5a83bed0-6cb4-4ccf-a7d9-631c13a1a140___YLCV_GCREC 2229.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\2768df4c-3c40-4524-a3cb-c5f75e9f167f___YLCV_GCREC 2005.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\b180c2cb-f3d0-496b-8a86-c6d54d25816f___UF.GRC_YLCV_Lab 03033.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\bb1be648-63dc-4973-8c88-f3de0dff30f4___RS_Late.B 6030.JPG,Tomato___Late_blight
Tomato___Septoria_leaf_spot\748290c1-48f9-46ab-bf30-70db00d1aa76___JR_Sept.L.S 2547.JPG,Tomato___Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\1beb7ab1-cb7c-4a42-a5d7-16a643c81100___Com.G_SpM_FL 9563.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Septoria_leaf_spot\7f9588b9-0bdc-4c29-9d84-bddf86c9c453___Matt.S_CG 7383.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\214477ac-bed3-4818-9b35-6d9b72e9523d___YLCV_GCREC 1924.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 2598.JPG,Corn_(maize)___Common_rust_
Potato___Late_blight\b11189c8-ab6f-4d69-9ffa-e52749d2a3a5___RS_LB 4537.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\6c6d960d-50e1-45ca-adb4-fc9b8218b698___UF.GRC_YLCV_Lab 02722.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\f9095543-43a8-4dac-8d06-041203fa5af5___RS_Erly.B 6435.JPG,Tomato___Early_blight
Tomato___Late_blight\9c6ebcdb-460b-431d-88d7-56beddc7a490___RS_Late.B 7002.JPG,Tomato___Late_blight
Tomato___healthy\0a86ddc0-4950-4efc-9260-0f16d4db046b___RS_HL 0469.JPG,Tomato___healthy
Tomato___Target_Spot\d63ebe6c-5f6e-47dc-87c1-d8b44c97065d___Com.G_TgS_FL 0807.JPG,Tomato___Target_Spot
Corn_(maize)___healthy\ddf11a05-a096-4b9b-a3f9-f12714edcb50___R.S_HL 8333 copy 2.jpg,Corn_(maize)___healthy
Tomato___Tomato_mosaic_virus\aab31aa2-ac8f-46a1-9b9b-7b728a776e8d___PSU_CG 2250.JPG,Tomato___Tomato_mosaic_virus
Tomato___Late_blight\62ba6c10-2e36-48ed-9f8b-f26cd5884666___GHLB2 Leaf 8828.JPG,Tomato___Late_blight
Apple___healthy\8a6cad28-0c10-47aa-af0e-fd82de61ba70___RS_HL 6246.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\95d3aec0-edfa-4cd4-b3f9-c39d24e9f37a___UF.GRC_YLCV_Lab 02377.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Late_blight\c18a017c-262c-41ca-93f3-8fc97ffd7043___RS_LB 4770.JPG,Potato___Late_blight
Tomato___Target_Spot\0e8a96d7-528a-4d09-8263-2a2d92f3c3b1___Com.G_TgS_FL 8337.JPG,Tomato___Target_Spot
Tomato___Target_Spot\649f0256-39b3-4400-b460-611f1fd2124f___Com.G_TgS_FL 0950.JPG,Tomato___Target_Spot
Apple___Black_rot\977c9b03-47f2-412d-a73d-7e647e973336___JR_FrgE.S 2887.JPG,Apple___Black_rot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c4e02aca-8410-492c-9df9-288cfb9aaa49___UF.GRC_YLCV_Lab 01597.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\82b9b632-6609-4f02-b58c-63480badb4e9___GCREC_Bact.Sp 6164.JPG,Tomato___Bacterial_spot
Apple___Black_rot\0ebea6f4-08e4-4380-86f8-34d854697e32___JR_FrgE.S 2877.JPG,Apple___Black_rot
Potato___Late_blight\265e32dc-44f3-40f8-8c5d-8bc223dd0f52___RS_LB 4859.JPG,Potato___Late_blight
Tomato___Early_blight\932fabe0-247e-4e51-92d3-cd824fc6bc5d___RS_Erly.B 9540.JPG,Tomato___Early_blight
Apple___healthy\49cc68a3-a1df-47c2-99d5-c2cb3a4c0227___RS_HL 7854.JPG,Apple___healthy
Tomato___healthy\c4a30e2a-f520-4cdc-a58d-7ea1eb7c22e6___GH_HL Leaf 454.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5741aac8-276f-4654-afc7-ebb939c3d4b8___UF.GRC_YLCV_Lab 02665.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3bacf94d-311e-4403-8cee-8f9c63cd1aaa___UF.GRC_YLCV_Lab 02739.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\66e9a887-6b60-40c0-814d-6c22c69787f7___YLCV_NREC 2303.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e0473055-55e0-4a4f-b570-54b6a65ecde5___UF.GRC_YLCV_Lab 02303.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d77b604e-0746-4926-aa31-a53a414e360e___YLCV_NREC 2331.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\bdd2fe13-a09d-4419-957e-3910234f8d0d___UF.GRC_YLCV_Lab 02581.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326.JPG,Tomato___Bacterial_spot
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\75c57507-6463-4886-8195-b1319c434ef7___RS_GLSp 4390.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Potato___Early_blight\ef5b06f0-4c81-4e47-9ec3-499af1571d9e___RS_Early.B 8455.JPG,Potato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d8eff209-47eb-4d84-9d3e-a5891a3ed141___UF.GRC_YLCV_Lab 02260.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Early_blight\73cf20a6-b2c4-4302-a664-c43dccb78cfb___RS_Early.B 6930.JPG,Potato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ecd6faa9-df99-4444-9fa9-11acccb0d06f___YLCV_NREC 2508.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 1929.JPG,Corn_(maize)___Common_rust_
Tomato___Septoria_leaf_spot\430dab60-e5fe-4a57-be67-e77bd91f9fda___Keller.St_CG 1772.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\40d9f5a1-0215-4707-bdd9-96b089f44415___YLCV_GCREC 2574.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\05598cc1-60b9-4436-a233-973c42eff2d6___GH_HL Leaf 503.1.JPG,Tomato___healthy
Corn_(maize)___Northern_Leaf_Blight\811ac5c3-9079-43aa-ba29-8b1bc35dd156___RS_NLB 4069.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\90af7dd7-9500-453f-8108-53628441890b___YLCV_GCREC 1920.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\ab203172-45d2-492f-94e0-6d15a1d34209___RS_HL 9831.JPG,Tomato___healthy
Apple___Apple_scab\08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab
Apple___healthy\89ce10db-057c-4c03-9324-b512db8ca3d6___RS_HL 5797.JPG,Apple___healthy
Tomato___Septoria_leaf_spot\32acbdf3-0c99-4a5d-b40e-f5dd906ba4ec___JR_Sept.L.S 2494.JPG,Tomato___Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\34dc951d-39ac-4456-8424-884d0b115170___Com.G_SpM_FL 9454.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Apple___Apple_scab\51530f6a-2bee-4008-8e77-eeda281e9195___FREC_Scab 3209.JPG,Apple___Apple_scab
Tomato___Target_Spot\b43bda6d-5066-4143-884b-533c0aedf6e7___Com.G_TgS_FL 9942.JPG,Tomato___Target_Spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\eb1c372c-ce2b-4416-b191-a65277f42779___YLCV_NREC 0195.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\5d4fc217-1da5-4459-86af-14d60427f77d___Keller.St_CG 1850.JPG,Tomato___Septoria_leaf_spot
Potato___Late_blight\c5ff46d5-8f49-409f-b3c1-9a1a25418f47___RS_LB 2596.JPG,Potato___Late_blight
Tomato___healthy\e8d0f3de-312b-4316-aca4-798a51ebd423___GH_HL Leaf 520.1.JPG,Tomato___healthy
Corn_(maize)___Common_rust_\RS_Rust 2412.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\2e3967fd-d97c-4985-ab63-4ee8bdb6a0bb___RS_GLSp 4680 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Apple___Black_rot\7b417a00-eed4-4192-9ab1-709859e6556a___JR_FrgE.S 8650.JPG,Apple___Black_rot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3470044e-2e27-48f9-be10-0c87bdfc314c___UF.GRC_YLCV_Lab 01316.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\07672c2f-860a-455f-9fa4-f761f4bc090e___RS_Late.B 5017.JPG,Tomato___Late_blight
Tomato___Septoria_leaf_spot\badbd0d4-8e02-49bf-a042-87ae373ca66f___Matt.S_CG 6741.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f3d589c4-5fee-4dbe-9e0d-2b83e93795b9___YLCV_NREC 2573.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\70787448-85e1-4479-a11b-86c52893ff22___Com.G_SpM_FL 9368.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___healthy\ab0fc79a-bd95-406c-a008-21985ddcb71a___R.S_HL 7985 copy 2.jpg,Corn_(maize)___healthy
Apple___healthy\5823ffd3-bd23-4088-80f5-dd33ae876694___RS_HL 7765.JPG,Apple___healthy
Tomato___Late_blight\2dc5d67b-cfe6-4337-b966-4a499bfad825___GHLB2 Leaf 8761.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\29a24215-3d90-4919-80cc-be0a0093011a___YLCV_GCREC 5244.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\123223d5-ec90-4df4-8a65-e474c88fda19___Com.G_SpM_FL 1664.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Target_Spot\68bd8fa2-f798-44ea-8e9f-5fa7a2c115ee___Com.G_TgS_FL 0009.JPG,Tomato___Target_Spot
Tomato___Septoria_leaf_spot\8cbaba7f-8b0b-4eea-a4ed-afd375a7c55a___JR_Sept.L.S 2720.JPG,Tomato___Septoria_leaf_spot
Tomato___healthy\6c93e40c-bd94-4583-8651-2b9d7215a392___RS_HL 0054.JPG,Tomato___healthy
Potato___Early_blight\d3240683-1636-4373-84aa-01ce594c19a0___RS_Early.B 8340.JPG,Potato___Early_blight
Tomato___Late_blight\78863d29-72bb-494d-8f05-c5648130283f___GHLB2 Leaf 9112.JPG,Tomato___Late_blight
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\5f00e4d0-e48c-4b6b-9602-022fd38cf7e7___RS_GLSp 7331.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\e19615f6-e276-4685-9777-e7bd1122aaaf___Com.G_SpM_FL 9015.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d3606035-460e-459a-a286-4e35c2390d2d___YLCV_GCREC 5394.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\44714cae-d7c8-4b0a-9058-0fe9ba703064___RS_HL 8081.JPG,Apple___healthy
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\9ff013dc-f099-4a5c-a187-65f5864132a6___RS_GLSp 4397.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f788509b-d030-4bc4-a4bc-6d8bfe0f7bfb___YLCV_GCREC 2389.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\784f629e-77a3-4d3b-b83c-9ef67b646234___RS_Erly.B 7371.JPG,Tomato___Early_blight
